station_id,location_type,vehicle_type,waiting_time,battery_capacity_kwh,initial_soc,charging_power_kw,queue_length,electricity_price,renewable_energy_ratio,traffic_density,weather_condition,day_of_week,time_slot,charging_demand,charging_priority,hour,year,month,day,day_of_year,is_weekend,is_peak_hour,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,demand_lag_15min,demand_lag_1h,demand_lag_24h,demand_rolling_avg_6h,demand_rolling_avg_24h
ST012,Highway,Bus,12,60,18.13002042,22,1,9.47,0.395537867,Low,Cloudy,5,Off-Peak,17.2597285,High,22,2025,1,18,18,1,0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.3047192331091634,0.9524422234305676,43.49368362,39.43481078,21.72437178,63.467732220833334,60.864538459375005
ST012,Highway,Bus,10,75,56.09393967,11,8,6.36,0.312148088,Low,Cloudy,5,Off-Peak,23.79486598,Low,22,2025,1,18,18,1,0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.3047192331091634,0.9524422234305676,17.2597285,22.90402803,89.08728805,62.3380830225,60.81803175854166
ST019,Urban,Two-Wheeler,8,75,34.04063946,50,4,11.7,0.382366491,Low,Clear,6,Off-Peak,27.29758354,Low,0,2025,1,19,19,1,0,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,60.96640464,15.40442396,36.02816833,45.094606847083334,49.07397329989583
ST014,Highway,Two-Wheeler,13,40,29.66752133,11,0,6.85,0.266452657,Low,Cloudy,6,Off-Peak,28.99198637,High,1,2025,1,19,19,1,0,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,32.68548283,95.70913473,22.8898863,54.85136542208334,50.829124291458335
ST019,Highway,Car,11,100,16.53995557,11,4,12.93,0.248230125,Low,Cloudy,6,Off-Peak,31.84869228,High,1,2025,1,19,19,1,0,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,27.29758354,14.59182758,18.50601383,45.35851780041667,48.98302970833333
ST014,Highway,Bus,9,30,17.58518223,7,5,12.12,0.134640933,Low,Rainy,6,Off-Peak,29.92694005,Medium,4,2025,1,19,19,1,0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,28.99198637,12.47189829,32.70849848,54.89374759875,50.89268783385416
ST019,Urban,Two-Wheeler,1,75,33.42581139,22,4,10.52,0.310143241,High,Clear,6,Peak,99.06742387,Medium,9,2025,1,19,19,1,0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,31.84869228,99.49087957,75.50131324,45.56797002041667,49.12201594218751
ST019,Highway,Two-Wheeler,6,60,15.73448913,22,5,8.68,0.712797714,Medium,Clear,6,Off-Peak,51.42899286,Medium,11,2025,1,19,19,1,0,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,99.06742387,60.96640464,38.67116559,48.733227,49.36749626124999
ST006,Highway,Bus,15,60,14.26070435,22,4,13.58,0.729872754,Medium,Rainy,6,Off-Peak,40.68092129,Medium,16,2025,1,19,19,1,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,51.79315945,102.2531058,21.26088767,47.607468668749995,48.428012119062494
ST019,Urban,Car,19,75,40.4203961,11,6,11.11,0.724247947,Medium,Cloudy,6,Off-Peak,42.70304585,High,16,2025,1,19,19,1,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,51.42899286,27.29758354,58.76288935,49.77345330875,49.50039029531249
ST018,Urban,Bus,0,30,31.59667117,22,0,5.42,0.425227582,Medium,Rainy,6,Off-Peak,38.88380583,Medium,16,2025,1,19,19,1,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,85.05335295,78.23803772,15.02187801,60.74822511875001,56.498501932708336
ST018,Highway,Car,6,100,25.234817,7,7,8.19,0.141248006,High,Rainy,6,Peak,90.58634338,High,17,2025,1,19,19,1,1,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,38.88380583,61.11570825,26.4961867,60.75134357874999,56.74706368083333
ST006,Urban,Two-Wheeler,13,100,47.0719976,22,7,14.84,0.270721959,High,Cloudy,6,Peak,81.61415339,Low,17,2025,1,19,19,1,1,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,40.68092129,17.59020751,24.83663695,45.867837881250004,48.63030413593751
ST018,Highway,Car,8,30,53.85793541,11,4,10.99,0.254073221,High,Clear,6,Peak,96.77446147,High,18,2025,1,19,19,1,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,90.58634338,73.7447719,22.6580775,61.941233337916664,57.41466947958333
ST018,Highway,Car,7,60,37.51682489,7,0,13.0,0.168268609,High,Rainy,6,Peak,83.4011155,High,18,2025,1,19,19,1,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,96.77446147,85.05335295,98.6073648,64.46895301333333,58.186715145937505
ST019,Highway,Bus,13,75,13.36143178,7,7,13.62,0.243823454,High,Clear,6,Peak,93.6518397,Medium,19,2025,1,19,19,1,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,42.70304585,31.84869228,96.95808049,51.10438797791667,49.33310025885417
ST003,Highway,Bus,12,100,25.08017831,7,4,10.61,0.137739098,High,Cloudy,6,Peak,77.90796246,Medium,20,2025,1,19,19,1,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,72.65504271,65.53791379,10.23455687,46.937965545,57.6043895578125
ST006,Highway,Car,14,40,19.3764024,22,1,10.35,0.366496578,High,Cloudy,6,Peak,64.55743461,Medium,21,2025,1,19,19,1,1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,81.61415339,25.76515473,35.79492678,46.533602090833334,49.22173659885417
ST011,Highway,Car,5,75,14.26201489,50,7,8.64,0.229612814,High,Clear,6,Peak,85.92125452,Low,21,2025,1,19,19,1,1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,90.63874229,19.04503767,48.66652004,63.13856375999999,56.20178941739584
ST006,Highway,Two-Wheeler,15,60,57.82003897,22,3,8.38,0.23800593,Low,Cloudy,6,Off-Peak,16.05569412,High,22,2025,1,19,19,1,0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,64.55743461,51.79315945,89.31423229,46.70921869208333,49.521346055416664
ST012,Highway,Two-Wheeler,12,100,17.78734659,7,11,14.13,0.282601704,Low,Cloudy,6,Off-Peak,26.30568793,Low,22,2025,1,19,19,1,0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,23.79486598,95.63224339,60.76521053,61.54085276458333,60.137902361979165
ST018,Highway,Bus,0,75,51.54780888,11,5,10.17,0.129841645,Low,Rainy,6,Off-Peak,16.8210422,Medium,23,2025,1,19,19,1,0,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,83.4011155,38.88380583,43.39234155,66.98205611791666,58.02831671572917
ST019,Highway,Car,19,75,12.01679938,50,0,5.1,0.339384031,Low,Rainy,6,Off-Peak,27.2540232,High,23,2025,1,19,19,1,0,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,93.6518397,99.06742387,29.77538941,52.02998388166667,49.298660250625005
ST012,Highway,Two-Wheeler,6,30,59.19195043,50,7,11.16,0.365457669,Low,Cloudy,0,Off-Peak,28.60537112,Medium,0,2025,1,20,20,0,0,0.0,1.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.3373010691361842,0.9413968285264122,26.30568793,43.49368362,88.61936258,61.03801268208333,59.7789490015625
ST014,Highway,Car,5,30,40.33738452,50,3,6.83,0.302120478,Low,Rainy,0,Off-Peak,32.45261374,Low,0,2025,1,20,20,0,0,0.0,1.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.3373010691361842,0.9413968285264122,29.92694005,78.15875944,31.2775853,54.76658123541667,50.863713266875
